,dataset,encoding,layer_type,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,run_duration
0,enzymes,,GCN,0.1,0.001,21.333333333333336,0.0,26.666666666666668,0.0,25.666666666666664,0.0,0.0,0.0,False,21.476882457733154
0,enzymes,,GCN,0.1,0.001,32.099999999999994,0.013833132528663038,38.833333333333336,0.01605199883711268,44.16666666666666,0.02308197950301875,0.0,0.0,False,8284.029508590698
0,mutag,,GCN,0.1,0.001,75.21276595744682,0.02431031465907006,76.48936170212768,0.019378061828193568,74.9468085106383,0.013496390544083432,0.0,0.0,False,1129.9481077194214
0,mutag,,GCN,0.1,0.001,75.21276595744682,0.02431031465907006,76.48936170212768,0.019378061828193568,74.9468085106383,0.013496390544083432,0.0,0.0,False,1129.9481077194214
1,enzymes,,GCN,0.1,0.001,33.96666666666667,0.025620738127974028,37.10000000000001,0.021853552978355208,44.16666666666667,0.03313775959703841,0.0,0.0,False,7044.858148574829
0,collab,,GCN,0.1,0.001,64.096,0.005130738738232539,64.44,0.006662131790951001,64.04799999999999,0.006453179061516888,0.0,0.0,False,39961.23905801773
