,dataset,encoding,layer_type,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,run_duration
0,mutag,,GIN,0.1,0.001,66.48936170212767,0.03442274401566688,65.53191489361703,0.030920684467378636,67.9255319148936,0.01187255013922917,0.0,0.0,False,852.5096867084503
0,mutag,,GIN,0.1,0.001,66.48936170212767,0.03442274401566688,65.53191489361703,0.030920684467378636,67.9255319148936,0.01187255013922917,0.0,0.0,False,852.5096867084503
1,enzymes,,GIN,0.1,0.001,16.733333333333338,0.016783589868943082,19.46666666666667,0.011531599098901148,18.166666666666668,0.009803627446568498,0.0,0.0,False,3705.932287454605
0,mutag,,GIN,0.1,0.001,66.48936170212767,0.03442274401566688,65.53191489361703,0.030920684467378636,67.9255319148936,0.01187255013922917,0.0,0.0,False,852.5096867084503
1,enzymes,,GIN,0.1,0.001,16.733333333333338,0.016783589868943082,19.46666666666667,0.011531599098901148,18.166666666666668,0.009803627446568498,0.0,0.0,False,3705.932287454605
2,proteins,,GIN,0.1,0.001,62.34767025089607,0.01463379892809608,65.25179856115108,0.016875066493436734,62.76978417266187,0.013514365031776394,0.0,0.0,False,6886.031490564346
0,mutag,,GIN,0.1,0.001,72.76595744680851,0.03464885614608048,72.12765957446808,0.03389596097196192,69.7872340425532,0.022836438919146784,0.0,0.0,False,967.9039106369019
0,mutag,,GIN,0.1,0.001,72.76595744680851,0.03464885614608048,72.12765957446808,0.03389596097196192,69.7872340425532,0.022836438919146784,0.0,0.0,False,967.9039106369019
1,enzymes,,GIN,0.1,0.001,20.033333333333335,0.011755849607748475,24.1,0.011046366924116828,19.066666666666666,0.015843680829347145,0.0,0.0,False,3871.998107433319
0,mutag,,GIN,0.1,0.001,72.76595744680851,0.03464885614608048,72.12765957446808,0.03389596097196192,69.7872340425532,0.022836438919146784,0.0,0.0,False,967.9039106369019
1,enzymes,,GIN,0.1,0.001,20.033333333333335,0.011755849607748475,24.1,0.011046366924116828,19.066666666666666,0.015843680829347145,0.0,0.0,False,3871.998107433319
2,proteins,,GIN,0.1,0.001,64.39068100358423,0.012094052528021053,64.47841726618705,0.015587414683211325,62.76978417266188,0.013868760898314387,0.0,0.0,False,6861.621649980545
0,mutag,,GIN,0.1,0.001,72.76595744680851,0.03464885614608048,72.12765957446808,0.03389596097196192,69.7872340425532,0.022836438919146784,0.0,0.0,False,967.9039106369019
1,enzymes,,GIN,0.1,0.001,20.033333333333335,0.011755849607748475,24.1,0.011046366924116828,19.066666666666666,0.015843680829347145,0.0,0.0,False,3871.998107433319
2,proteins,,GIN,0.1,0.001,64.39068100358423,0.012094052528021053,64.47841726618705,0.015587414683211325,62.76978417266188,0.013868760898314387,0.0,0.0,False,6861.621649980545
3,imdb,,GIN,0.1,0.001,61.260000000000005,0.03134976873917892,61.56,0.021739549213357665,60.35,0.021557133390133303,0.0,0.0,False,6879.363472700119
0,enzymes,,GIN,,0.1,0.001,39.2,0.031416909813382694,44.666666666666664,0.029694743268426783,86.66666666666669,0.07430866556316143,0.0,0.0,False,80.4773302078247
0,proteins,,GIN,,0.1,0.001,69.31899641577061,0.022266114590184575,74.53237410071944,0.025284469221857606,81.72661870503597,0.021882806081674654,0.0,0.0,False,99.47113299369812
0,mutag,,GIN,,0.1,0.001,88.08510638297872,0.019407241278283183,90.2127659574468,0.025814044064856358,93.40425531914892,0.016370539626954343,0.0,0.0,False,17.29310178756714
0,imdb,,GIN,,0.1,0.001,71.6,0.027247018185482235,74.48,0.023667023471488784,70.72,0.020941060145083387,0.0,0.0,False,62.26596760749817
0,collab,,GIN,,0.1,0.001,71.21600000000001,0.013811253382658647,71.776,0.010817704007782784,71.2,0.006435899315558019,0.0,0.0,False,9087.484293937683
0,reddit,,GIN,,0.1,0.001,91.00000000000001,0.021908902300206663,91.08000000000001,0.02968851629839391,91.89999999999999,0.020915066339842192,0.0,0.0,False,2646.835357427597
