graph_index,label,class_distance_ratio
0,0,0.3969221835075494
1,0,0.0
2,0,1.1371460299833427
3,0,0.9634369287020109
4,0,0.0
5,0,0.7845561826577733
6,0,1.0
7,0,0.0
8,0,0.0
9,0,1.0
10,0,1.0
11,0,0.0
12,0,1.0
13,0,0.7746197473575663
14,0,0.35542366309761697
15,0,0.0
16,0,0.4200393874844259
17,0,1.0
18,0,0.882177033492823
19,0,0.6131305465640342
20,0,1.008111888111888
21,0,0.9302416977795245
22,0,2.331715210355987
23,0,1.0847222222222221
24,0,0.0
25,0,0.79375
26,0,2.0527277473244583
27,0,0.0
28,0,0.0
29,0,1.0
30,0,1.4736842105263157
31,0,0.320175641797806
32,0,0.0
33,0,0.23071479122434538
34,0,1.0
35,0,inf
36,0,1.6776315789473684
37,0,1.0
38,0,0.0
39,0,1.0
40,0,0.9390756302521008
41,0,0.9653179190751445
42,0,0.0
43,0,inf
44,0,1.0
45,0,0.7018501668183197
46,0,1.0
47,0,1.0
48,0,0.0
49,0,0.24402296344742389
50,0,1.0652920962199313
51,0,0.0
52,0,1.0
53,0,0.0
54,0,1.0
55,0,1.0
56,0,1.0
57,0,0.0
58,0,1.0
59,0,0.0
60,0,1.0
61,0,1.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.8743718592964824
66,0,1.0
67,0,inf
68,0,1.0
69,0,0.9682433337799813
70,0,1.0
71,0,0.6573966782541522
72,0,11.807443365695793
73,0,1.0
74,0,0.0
75,0,0.0
76,0,1.0
77,0,1.0
78,0,0.0
79,0,0.0
80,0,1.2237143792990501
81,0,1.4373645231213872
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,inf
87,0,0.594488188976378
88,0,0.0
89,0,1.0
90,0,0.0
91,0,1.0
92,0,0.24573378839590443
93,0,1.1319850984566258
94,0,1.0
95,0,1.0
96,0,1.0
97,0,1.2396810506566605
98,0,0.7506542056074766
99,0,0.0
100,0,0.08754184403025168
101,0,0.856816750629723
102,0,0.13708492671384195
103,0,0.8547189819724285
104,0,0.0
105,0,0.2789092554876669
106,0,0.8771604938271605
107,0,0.8402167819099233
108,0,0.7745398773006135
109,0,1.0
110,0,0.0
111,0,1.0
112,0,0.0
113,0,1.0
114,0,0.0
115,0,1.0956719817767653
116,0,0.0
117,0,1.0
118,0,0.8947368421052632
119,0,0.0
